docID,"life and style","life and style",film,film,"life and style","life and style","life and style","television & radio",film,"life and style","television & radio",film,technology,"life and style","television & radio",technology,technology,"life and style","life and style","life and style",film,"life and style","television & radio",technology,film,film,film,"television & radio",technology,"television & radio","television & radio","life and style","life and style",film,"life and style","life and style","television & radio","life and style","life and style",technology,"life and style",film,"life and style",technology,"television & radio",technology,technology,"life and style",technology,"television & radio",film,film,film,technology,"life and style",film,"life and style","television & radio"
"television & radio",0.01156193650039,0.0075928684088597,0.022186334178311,0.009178342156007,0.012583172282369,0.022232682667532,0.0014374591034378,0.25071840300956,0.054148083879761,0.0043085721644955,1,0.036948607841378,0.0063068871109172,0.01455559593343,0.026470398468001,0.015295069808733,0.033854898409421,0.064356419004181,0.051772347943516,0.0033219771631641,0.020052109616294,0.084684792211858,0.039733400840521,0.0030471679667615,0.0055891853015836,0.019716784765827,0.0095693597290119,0.044861153524025,0.0024963998595362,0.016748577393599,0.03104105241717,0.016290384982389,0.007236619315508,0.029765307443396,0.0037103026296197,0.011186938323621,0.059095197169421,0.0061117937640279,0.032364100377978,0.0075216965087246,0.026976467348315,0.0050461350685251,0.016116460201032,0.015328954775778,0.099612342536092,0.011764442794791,0.0021127800456693,0.023174362895253,0.019316594022,0.0070717141331585,0.040130898569802,0.0096314653636164,0.020293571453381,0.034869268301136,0.016206421736292,0.0074438649450996,0.0019143457174577,0.049246263835289
film,0.012036611145414,0.038320468445087,0.084351448624491,0.024255637115805,0.020557291057138,0.060227719410529,0.002687236451701,0.014836816664589,0.088773922401719,0.015502859688923,0.036948607841378,1,0.028093832373913,0.030387079380786,0.012052421484804,0.030940102638878,0.040383003638477,0.0075848235561548,0.029691270324731,0.016014135208535,0.020058409835946,0.032971489760618,0.052339628441361,0.0074453353514245,0.039345700138971,0.035296506092891,0.025219813523672,0.061305018579694,0.027741483014303,0.0271724905499,0.023638208467136,0.023508382595374,0.022833947131257,0.10295863048774,0.0083750662901686,0.017757499866876,0.023277273500953,0.012246080613841,0.021904841958227,0.020481417582412,0.029114219765691,0.055495982738885,0.0088625618145323,0.019187239995539,0.033058694361324,0.021220213546847,0.011859907356092,0.035724560791635,0.015600931938763,0.021687612550005,0.1008752685313,0.059927104013042,0.056530881953433,0.040917603638532,0.042083862966739,0.019639082563976,0.014046117976499,0.043559792335998
technology,0.017505114804895,0.017144546229171,0.027713055632727,0.011246032380103,0.019349318387069,0.052737949304527,0.0055952406866215,0.0061519951403925,0.049069099797289,0.011523063518625,0.0063068871109172,0.028093832373913,1,0.027663350061661,0.034883628730986,0.0087154942795413,0.24989010595113,0.024803146726239,0.054695974077942,0.0097918975316711,0.011866790083178,0.016325648300196,0.030993309629683,0.029020372082181,0.010549459053863,0.025584659679399,0.017423243954682,0.027178668814822,0.037699910828405,0.013244852496632,0.011653786902592,0.016216832574881,0.019385021388253,0.029583167332585,0.020237953784355,0.0081997397164899,0.019514386785511,0.016007440342579,0.030862348911579,0.053950728698602,0.032123082817495,0.011275681723642,0.012102795678593,0.012304618818703,0.018054180814091,0.042996268835946,0.032590269274206,0.026483752337919,0.028165922541638,0.010944999284883,0.04736049197717,0.011112385132002,0.028566555660486,0.042120925384495,0.02567065355815,0.012229262512745,0.017897419819343,0.033638656556908
"life and style",0.029696481675506,0.014035923173315,0.020980016440554,0.034438003663469,0.032810473033556,0.036886984274967,0.0037848232226022,0.014948249024913,0.098852158069466,0.015602485217204,0.01455559593343,0.030387079380786,0.027663350061661,1,0.022737920799017,0.010522729179007,0.030653632640394,0.015739382181123,0.039939968449798,0.026708632839386,0.037336109776872,0.037133886289256,0.053144702933608,0.0057770038219056,0.03558254907913,0.078064020201621,0.051939739135764,0.036928709767043,0.030354400104338,0.02875826162957,0.030389279630342,0.025850237811027,0.034788233324305,0.039880795556609,0.05279825933039,0.030994772791283,0.045353870212667,0.027575116990307,0.034883482917325,0.023995607376912,0.051980430239573,0.041504482205062,0.031333669694578,0.015749112757783,0.044358578405321,0.029439116528289,0.02169652947763,0.023229442240545,0.018185460917688,0.050022665652795,0.044395684999234,0.0075995300980805,0.044387294142466,0.09336516416007,0.016470591481229,0.033194291645886,0.034728437894272,0.039596474884773
"television & radio",0.013138261063782,0.017684903079232,0.01848241781041,0.0038083661043319,0.017889150186926,0.009040535941171,0.011199675642652,0.014408543683116,0.044018862223856,0.0083405254623477,0.026470398468001,0.012052421484804,0.034883628730986,0.022737920799017,1,0.034499845429135,0.0072665043523759,0.010792304821706,0.021648350959295,0.021680468217668,0.006062595426391,0.0055356146429911,0.024342599897397,0.0019808796088941,0.0074884431947085,0.021917354693134,0.022155560742404,0.039660102997431,0.012703369668517,0.016566815361361,0.027465662894594,0.029125015780101,0.011064656453746,0.022430878268128,0.0076387021747396,0.009777718872382,0.018508518295752,0.016856088330924,0.010569354991757,0.0186099187995,0.028602052022754,0.0086005009983086,0.029339012558579,0.02441296727726,0.023218641653718,0.015610714827686,0.02604771719348,0.017878272109256,0.017464062160904,0.014258185168047,0.065037808671193,0.01427086149393,0.018765162758509,0.026414289776202,0.024375089650788,0.01736945344837,0.0068312525161631,0.019183979359193
technology,0.025421096363945,0.02050362599731,0.029325243595584,0.020348675977424,0.035504221333013,0.010464233700945,0.00072978402201952,0.0091065781811764,0.037883912291413,0.032213505898417,0.015295069808733,0.030940102638878,0.0087154942795413,0.010522729179007,0.034499845429135,1,0.013647258955855,0.0088494230313336,0.010980362111342,0.0049160181232108,0.018919640428596,0.021821216263086,0.021408226338182,0.012901495190329,0.0093950449905254,0.01580776320588,0.011613018385773,0.028806608834385,0.036359734837057,0.017663638465767,0.016516787079991,0.029181257351584,0.018330169115107,0.021636170676339,0.0068097318683292,0.0079553141913309,0.020430911193479,0.010576901082144,0.024217481848997,0.016957532232296,0.023086259916668,0.0040227528944094,0.016304396211959,0.016066094972752,0.019074162706222,0.038435955054293,0.23090226068265,0.016695422187851,0.023207870748816,0.012671622779223,0.050145244750916,0.0020155335724132,0.019798120812238,0.033776303727893,0.020569119358757,0.0087211196956272,0.0069890823920773,0.024529430601705
technology,0.017189653432206,0.012833150547306,0.012831223919392,0.0088928696588449,0.033317235184618,0.035076987806573,0.0024245733157476,0.0094897621588376,0.034301270840965,0.009890261129038,0.033854898409421,0.040383003638477,0.24989010595113,0.030653632640394,0.0072665043523759,0.013647258955855,1,0.013904846944814,0.028218236135296,0.0064949359636993,0.012934687345521,0.025425546735579,0.024918699948191,0.065137197479215,0.010237879177858,0.026248681463324,0.018728165405399,0.030429546833767,0.027902657456681,0.01516609042518,0.012877469192315,0.011937308371516,0.026929112816268,0.030388874585573,0.020779984765563,0.010004516245125,0.03159735122408,0.0068883963041632,0.019297487450171,0.040015158262101,0.042086776797903,0.0056202945599938,0.016169363124738,0.013314632069755,0.041665261890129,0.063120877932552,0.019394408155557,0.016426667873199,0.027733529827167,0.014316751565453,0.025420287169271,0.0084120085583628,0.031308281472545,0.04848572571573,0.015544686476466,0.021998532749751,0.017168284636307,0.017540364439816
"life and style",0.0056312748941274,0.023742841866212,0.03461525771469,0.011323935768777,0.017072198012697,0.019606452472129,0.0042338470857696,0.096074026990365,0.039575740107633,0.014319377204874,0.064356419004181,0.0075848235561548,0.024803146726239,0.015739382181123,0.010792304821706,0.0088494230313336,0.013904846944814,1,0.035299052094577,0.0064952947507566,0.0063446717551175,0.022731302341726,0.024164696624833,0.0035159267495529,0.016176598576655,0.014378248084192,0.019958213213452,0.033470326342365,0.025118553721874,0.017778160597764,0.0060511530920809,0.013059044283652,0.017470502196047,0.015806089339115,0.01676253176665,0.01227775529745,0.010927340121582,0.014865430442918,0.030028418427648,0.0097571776287174,0.022320590561993,0.0067074563217744,0.014721128584546,0.012537027243606,0.020379483941351,0.011499602532019,0.048344622692449,0.0069146076032205,0.0046555290029686,0.014816163801266,0.024691187742051,0.0034528976729797,0.019020402637053,0.020454413509247,0.0070665588349162,0.021548842934821,0.010818502064459,0.030255015626865
"life and style",0.021391605073794,0.026305258608532,0.037704946212264,0.023095750535624,0.047650623222669,0.069694846803984,0.00027005128555893,0.0163973847504,0.082433379657277,0.046631602645679,0.051772347943516,0.029691270324731,0.054695974077942,0.039939968449798,0.021648350959295,0.010980362111342,0.028218236135296,0.035299052094577,1,0.014149922758667,0.021320694710277,0.13833681561219,0.048981049921093,0.017640583288861,0.009672818771466,0.039505230385987,0.023466035107517,0.029945221013653,0.039568357055711,0.039773635530396,0.017439274307086,0.03577677429576,0.023157552910015,0.031286046640647,0.052383780943638,0.041658483234817,0.045286509496092,0.03606538238765,0.052752756418253,0.01566887428588,0.10677852402263,0.011457353453661,0.01485636606958,0.03715038082488,0.033511929571311,0.016374477837267,0.018538075011749,0.044199462120661,0.030646126914892,0.027926163466285,0.040282913469224,0.0042280893901545,0.044969193018128,0.042608715991722,0.010199394520129,0.033504338165608,0.053180354065566,0.042470528098093
"life and style",0.017379771698188,0.08221556170274,0.0071290981412272,0.010753997470011,0.050010633216444,0.042957225011289,0.0016619500911786,0.0053560972815804,0.027792967956744,0.03289650612995,0.0033219771631641,0.016014135208535,0.0097918975316711,0.026708632839386,0.021680468217668,0.0049160181232108,0.0064949359636993,0.0064952947507566,0.014149922758667,1,0.0059459517967868,0.149051677776,0.02984217637288,0.0034523033602953,0.0036922070077882,0.023807054904383,0.041710918844111,0.021502894468907,0.015800821335065,0.0085592092428112,0.0089242209261712,0.038677289199162,0.01256974423228,0.026153309000554,0.010374247893785,0.0052577103507372,0.032121676573787,0.012062385846882,0.013108733573035,0.049536408250959,0.041768476641217,0.0062115778458019,0.017563746423075,0.031076143865632,0.036122077331867,0.017797129523101,0.0046612249884004,0.01310929680784,0.0055458608712545,0.016617948751723,0.026564090661023,0.0035319550135475,0.015066633228302,0.014257373443183,0.016241996495178,0.014374378505449,0.0098384596421404,0.022825008041809
